covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
number_inpatient,0.2776218216834772,1.3199869123773424,0.005834409517629501,0.2661865891578657,0.2890570542090887,1.3049785308166895,1.3351679033041657,0.0,47.58353366259315,0.0,inf
discharge_disposition_id,0.02526624068714968,1.025588137469159,0.0015925704786660321,0.02214485990612254,0.02838762146817682,1.0223918773351912,1.0287943899349032,0.0,15.865069097797903,1.1059570488835522e-56,185.88267795575615
number_diagnoses,0.1005133998485569,1.1057384583326921,0.01122202487307704,0.07851863526371322,0.12250816443340057,1.0816835124319666,1.1303283485268607,0.0,8.956797100824502,3.342459698302815e-19,61.375723637727255
age,0.04066139832949097,1.0414993924001186,0.006367096252562031,0.028182118988369448,0.05314067767061249,1.0285829918587182,1.054577990259836,0.0,6.386176165175669,1.7008505488570034e-10,32.45302456971556
encounter_id,-6.10579611530174e-10,0.9999999993894204,1.0119359882375723e-10,-8.089154206907329e-10,-4.122438023696151e-10,0.9999999991910846,0.9999999995877562,0.0,-6.0337770237185016,1.6017103866775353e-09,29.217739543615558
num_medications,0.06059110380453625,1.0624643877091877,0.011438563109063136,0.038171932075884,0.0830102755331885,1.0389098394493113,1.086552973402015,0.0,5.297090484776711,1.1766239791828277e-07,23.018843320930603
num_procedures,-0.04624688018004327,0.9548062103615645,0.010841515441262694,-0.06749585998275302,-0.024997900377333515,0.9347315904129226,0.9753119598132806,0.0,-4.2657210083405985,1.992576533628325e-05,15.615005336135475
number_emergency,0.020081912286781026,1.020284910474171,0.005503036398200195,0.009296159140695624,0.03086766543286643,1.009339502633304,1.0313490117303756,0.0,3.6492421335517515,0.0002630151084571203,11.89256670448013
admission_type_id,-0.023610172202922403,0.976666367256079,0.0070234241460079855,-0.03737583057724704,-0.009844513828597766,0.9633140244412641,0.9902037847756328,0.0,-3.3616326897104867,0.0007748311868488662,10.333830356162355
time_in_hospital,0.031153995648506735,1.0316443603969108,0.010638761990575877,0.010302405306884362,0.05200558599012911,1.010355657803593,1.0533816266762992,0.0,2.92834783559439,0.003407685845947776,8.196991944809636
gender,0.029492943888165236,1.0299321681296916,0.018958509489695633,-0.007665051912199045,0.06665093968852952,0.9923642496843266,1.0689222946974941,0.0,1.5556573107287417,0.11978960282905053,3.0614254004327126
admission_source_id,-0.0036359027509654646,0.9963706991397405,0.0024411189556048226,-0.008420407985928947,0.0011486024839980186,0.9916149443527689,1.0011492623804599,0.0,-1.4894410379377097,0.1363712688751207,2.8743883700084893
num_lab_procedures,0.009070443815973973,1.009111704949394,0.010339571445960403,-0.011194743833687147,0.029335631465635094,0.98886768413885,1.029770159748581,0.0,0.8772552966416931,0.38034798729844455,1.394608124180815
number_outpatient,0.007133272210885575,1.0071587745995332,0.008558312358313372,-0.009640711779852689,0.02390725620162384,0.9904056109012356,1.024195325720936,0.0,0.8334905191858835,0.40456814261485974,1.3055453743512024
